
---------- Begin Simulation Statistics ----------
simSeconds                                   0.029959                       # Number of seconds simulated (Second)
simTicks                                  29959334000                       # Number of ticks simulated (Tick)
finalTick                                 29959334000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    431.19                       # Real time elapsed on the host (Second)
hostTickRate                                 69481337                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     796660                       # Number of bytes of host memory used (Byte)
simInsts                                    104693735                       # Number of instructions simulated (Count)
simOps                                      190503147                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   242804                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     441813                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                         3153142                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       11864146                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     302                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      11853946                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   213                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              115320                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           103658                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                146                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples            3110446                       # Number of insts issued each cycle
system.cpu0.numIssuedDist::mean              3.811012                       # Number of insts issued each cycle
system.cpu0.numIssuedDist::stdev             2.185035                       # Number of insts issued each cycle
system.cpu1.commit.committedInstType_0::SimdAdd          500      0.00%     84.30% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdAddAcc            0      0.00%     84.30% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdAlu         6506      0.00%     84.30% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdCmp            0      0.00%     84.30% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdCvt         5572      0.00%     84.30% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdMisc        28926      0.02%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdMult            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdMultAcc            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdShift            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdShiftAcc            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdDiv            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdSqrt            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatAdd            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatAlu            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatCmp            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatCvt            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatDiv            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatMisc            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatMult            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatMultAcc            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdReduceAdd            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdReduceAlu            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdReduceCmp            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatReduceAdd            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdFloatReduceCmp            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdAes            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdAesMix            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdSha1Hash            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdSha1Hash2            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdSha256Hash            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdSha256Hash2            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdShaSigma2            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdShaSigma3            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::SimdPredAlu            0      0.00%     84.32% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::MemRead     18617135     10.41%     94.73% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::MemWrite      9349629      5.23%     99.96% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatMemRead        21350      0.01%     99.98% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatMemWrite        42049      0.02%    100.00% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::IprAccess            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::InstPrefetch            0      0.00%    100.00% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::total    178754025                       # Class of committed instruction (Count)
system.cpu1.commit.commitEligibleSamples      9354692                       # number cycles where commit BW limit reached (Cycle)
system.cpu1.decode.idleCycles                14511032                       # Number of cycles decode is idle (Cycle)
system.cpu1.decode.blockedCycles             10884162                       # Number of cycles decode is blocked (Cycle)
system.cpu1.decode.runCycles                 27500207                       # Number of cycles decode is running (Cycle)
system.cpu1.decode.unblockCycles              3688268                       # Number of cycles decode is unblocking (Cycle)
system.cpu1.decode.squashCycles                156403                       # Number of cycles decode is squashing (Cycle)
system.cpu1.decode.branchResolved            13929525                       # Number of times decode resolved a branch (Count)
system.cpu1.decode.branchMispred                 1679                       # Number of times decode detected a branch misprediction (Count)
system.cpu1.decode.decodedInsts             188598835                       # Number of instructions handled by decode (Count)
system.cpu1.decode.squashedInsts                 5188                       # Number of squashed instructions handled by decode (Count)
system.cpu1.fetch.icacheStallCycles          13850952                       # Number of cycles fetch is stalled on an Icache miss (Cycle)
system.cpu1.fetch.insts                     105378185                       # Number of instructions fetch has processed (Count)
system.cpu1.fetch.branches                   23825270                       # Number of branches that fetch encountered (Count)
system.cpu1.fetch.predictedBranches          14421217                       # Number of branches that fetch has predicted taken (Count)
system.cpu1.fetch.cycles                     42730845                       # Number of cycles fetch has run and was not squashing or blocked (Cycle)
system.cpu1.fetch.squashCycles                 316142                       # Number of cycles fetch has spent squashing (Cycle)
system.cpu1.fetch.miscStallCycles                  30                       # Number of cycles fetch has spent waiting on interrupts, or bad addresses, or out of MSHRs (Cycle)
system.cpu1.fetch.pendingTrapStallCycles          174                       # Number of stall cycles due to pending traps (Cycle)
system.cpu1.fetch.cacheLines                 13762165                       # Number of cache lines fetched (Count)
system.cpu1.fetch.icacheSquashes                 7198                       # Number of outstanding Icache misses that were squashed (Count)
system.cpu1.fetch.nisnDist::samples          56740072                       # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::mean             3.362154                       # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::stdev            3.307883                       # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::underflows              0      0.00%      0.00% # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::0                21571655     38.02%     38.02% # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::1                  309430      0.55%     38.56% # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::2                10182001     17.94%     56.51% # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::3                  210277      0.37%     56.88% # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::4                 2552997      4.50%     61.38% # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::5                  331160      0.58%     61.96% # Number of instructions fetched each cycle (Total)
system.cpu1.fetch.nisnDist::6                 7431416     13.10%     75.06% # Number of instructions fetched each cycle (Total)
